# NEST version: 3.8.0
# RecordingBackendASCII version: 2
sender	time_ms	V_m
423	24001.000	-70.000
423	24002.000	-70.000
423	24003.000	-70.000
423	24004.000	-70.000
423	24005.000	-70.000
423	24006.000	-70.000
423	24007.000	-70.000
423	24008.000	-70.000
423	24009.000	-70.000
423	24010.000	-70.000
423	24011.000	-70.000
423	24012.000	-70.000
423	24013.000	-70.000
423	24014.000	-70.000
423	24015.000	-70.000
423	24016.000	-70.000
423	24017.000	-70.000
423	24018.000	-70.000
423	24019.000	-70.000
423	24020.000	-70.000
423	24021.000	-70.000
423	24022.000	-70.000
423	24023.000	-70.000
423	24024.000	-70.000
423	24025.000	-70.000
423	24026.000	-70.000
423	24027.000	-70.000
423	24028.000	-70.000
423	24029.000	-70.000
423	24030.000	-70.000
423	24031.000	-70.000
423	24032.000	-70.000
423	24033.000	-70.000
423	24034.000	-70.000
423	24035.000	-70.000
423	24036.000	-70.000
423	24037.000	-70.000
423	24038.000	-70.000
423	24039.000	-70.000
423	24040.000	-70.000
423	24041.000	-70.000
423	24042.000	-70.000
423	24043.000	-70.000
423	24044.000	-70.000
423	24045.000	-70.000
423	24046.000	-70.000
423	24047.000	-70.000
423	24048.000	-70.000
423	24049.000	-70.000
423	24050.000	-70.000
423	24051.000	-70.000
423	24052.000	-70.000
423	24053.000	-70.000
423	24054.000	-70.000
423	24055.000	-70.000
423	24056.000	-70.000
423	24057.000	-70.000
423	24058.000	-70.000
423	24059.000	-70.000
423	24060.000	-70.000
423	24061.000	-69.979
423	24062.000	-69.915
423	24063.000	-69.848
423	24064.000	-69.796
423	24065.000	-69.762
423	24066.000	-69.745
423	24067.000	-69.740
423	24068.000	-69.744
423	24069.000	-69.755
423	24070.000	-69.768
423	24071.000	-69.784
423	24072.000	-69.800
423	24073.000	-69.816
423	24074.000	-69.832
423	24075.000	-69.847
423	24076.000	-69.861
423	24077.000	-69.873
423	24078.000	-69.885
423	24079.000	-69.896
423	24080.000	-69.906
423	24081.000	-69.914
423	24082.000	-69.923
423	24083.000	-69.930
423	24084.000	-69.937
423	24085.000	-69.943
423	24086.000	-69.948
423	24087.000	-69.953
423	24088.000	-69.957
423	24089.000	-69.961
423	24090.000	-69.965
423	24091.000	-69.968
423	24092.000	-69.971
423	24093.000	-69.974
423	24094.000	-69.977
423	24095.000	-69.979
423	24096.000	-69.981
423	24097.000	-69.983
423	24098.000	-69.984
423	24099.000	-69.986
423	24100.000	-69.987
423	24101.000	-69.988
423	24102.000	-69.989
423	24103.000	-69.990
423	24104.000	-69.991
423	24105.000	-69.992
423	24106.000	-69.993
423	24107.000	-69.994
423	24108.000	-69.994
423	24109.000	-69.995
423	24110.000	-69.995
423	24111.000	-69.996
423	24112.000	-69.996
423	24113.000	-69.997
423	24114.000	-69.997
423	24115.000	-69.997
423	24116.000	-69.997
423	24117.000	-69.998
423	24118.000	-69.998
423	24119.000	-69.998
423	24120.000	-69.998
423	24121.000	-69.998
423	24122.000	-69.991
423	24123.000	-69.934
423	24124.000	-69.865
423	24125.000	-69.808
423	24126.000	-69.769
423	24127.000	-69.747
423	24128.000	-69.740
423	24129.000	-69.742
423	24130.000	-69.750
423	24131.000	-69.763
423	24132.000	-69.779
423	24133.000	-69.795
423	24134.000	-69.811
423	24135.000	-69.827
423	24136.000	-69.842
423	24137.000	-69.856
423	24138.000	-69.869
423	24139.000	-69.881
423	24140.000	-69.892
423	24141.000	-69.902
423	24142.000	-69.912
423	24143.000	-69.920
423	24144.000	-69.928
423	24145.000	-69.934
423	24146.000	-69.941
423	24147.000	-69.946
423	24148.000	-69.951
423	24149.000	-69.956
423	24150.000	-69.960
423	24151.000	-69.964
423	24152.000	-69.967
423	24153.000	-69.971
423	24154.000	-69.973
423	24155.000	-69.976
423	24156.000	-69.978
423	24157.000	-69.980
423	24158.000	-69.982
423	24159.000	-69.984
423	24160.000	-69.985
423	24161.000	-69.987
423	24162.000	-69.988
423	24163.000	-69.989
423	24164.000	-69.990
423	24165.000	-69.991
423	24166.000	-69.992
423	24167.000	-69.993
423	24168.000	-69.993
423	24169.000	-69.994
423	24170.000	-69.995
423	24171.000	-69.995
423	24172.000	-69.996
423	24173.000	-69.996
423	24174.000	-69.996
423	24175.000	-69.997
423	24176.000	-69.997
423	24177.000	-69.997
423	24178.000	-69.998
423	24179.000	-69.998
423	24180.000	-69.998
423	24181.000	-69.998
423	24182.000	-69.998
423	24183.000	-69.998
423	24184.000	-69.954
423	24185.000	-69.886
423	24186.000	-69.824
423	24187.000	-69.779
423	24188.000	-69.752
423	24189.000	-69.741
423	24190.000	-69.740
423	24191.000	-69.747
423	24192.000	-69.759
423	24193.000	-69.774
423	24194.000	-69.790
423	24195.000	-69.806
423	24196.000	-69.822
423	24197.000	-69.838
423	24198.000	-69.852
423	24199.000	-69.865
423	24200.000	-69.878
423	24201.000	-69.889
423	24202.000	-69.900
423	24203.000	-69.909
423	24204.000	-69.918
423	24205.000	-69.925
423	24206.000	-69.932
423	24207.000	-69.939
423	24208.000	-69.945
423	24209.000	-69.950
423	24210.000	-69.955
423	24211.000	-69.959
423	24212.000	-69.963
423	24213.000	-69.966
423	24214.000	-69.970
423	24215.000	-69.973
423	24216.000	-69.975
423	24217.000	-69.977
423	24218.000	-69.980
423	24219.000	-69.982
423	24220.000	-69.983
423	24221.000	-69.985
423	24222.000	-69.986
423	24223.000	-69.988
423	24224.000	-69.989
423	24225.000	-69.990
423	24226.000	-69.991
423	24227.000	-69.992
423	24228.000	-69.993
423	24229.000	-69.993
423	24230.000	-69.994
423	24231.000	-69.994
423	24232.000	-69.995
423	24233.000	-69.995
423	24234.000	-69.996
423	24235.000	-69.996
423	24236.000	-69.997
423	24237.000	-69.997
423	24238.000	-69.997
423	24239.000	-69.998
423	24240.000	-69.998
423	24241.000	-69.998
423	24242.000	-69.998
423	24243.000	-69.998
423	24244.000	-69.998
423	24245.000	-69.973
423	24246.000	-69.906
423	24247.000	-69.841
423	24248.000	-69.790
423	24249.000	-69.759
423	24250.000	-69.743
423	24251.000	-69.739
423	24252.000	-69.744
423	24253.000	-69.755
423	24254.000	-69.769
423	24255.000	-69.785
423	24256.000	-69.801
423	24257.000	-69.818
423	24258.000	-69.833
423	24259.000	-69.848
423	24260.000	-69.862
423	24261.000	-69.874
423	24262.000	-69.886
423	24263.000	-69.897
423	24264.000	-69.906
423	24265.000	-69.915
423	24266.000	-69.923
423	24267.000	-69.930
423	24268.000	-69.937
423	24269.000	-69.943
423	24270.000	-69.948
423	24271.000	-69.953
423	24272.000	-69.958
423	24273.000	-69.962
423	24274.000	-69.965
423	24275.000	-69.969
423	24276.000	-69.972
423	24277.000	-69.974
423	24278.000	-69.977
423	24279.000	-69.979
423	24280.000	-69.981
423	24281.000	-69.983
423	24282.000	-69.984
423	24283.000	-69.986
423	24284.000	-69.987
423	24285.000	-69.988
423	24286.000	-69.990
423	24287.000	-69.991
423	24288.000	-69.991
423	24289.000	-69.992
423	24290.000	-69.993
423	24291.000	-69.994
423	24292.000	-69.994
423	24293.000	-69.995
423	24294.000	-69.995
423	24295.000	-69.996
423	24296.000	-69.996
423	24297.000	-69.997
423	24298.000	-69.997
423	24299.000	-69.997
423	24300.000	-69.997
423	24301.000	-69.998
423	24302.000	-69.998
423	24303.000	-69.998
423	24304.000	-69.998
423	24305.000	-69.998
423	24306.000	-69.987
423	24307.000	-69.927
423	24308.000	-69.859
423	24309.000	-69.803
423	24310.000	-69.766
423	24311.000	-69.746
423	24312.000	-69.739
423	24313.000	-69.742
423	24314.000	-69.752
423	24315.000	-69.765
423	24316.000	-69.780
423	24317.000	-69.796
423	24318.000	-69.813
423	24319.000	-69.829
423	24320.000	-69.844
423	24321.000	-69.858
423	24322.000	-69.871
423	24323.000	-69.883
423	24324.000	-69.893
423	24325.000	-69.903
423	24326.000	-69.913
423	24327.000	-69.921
423	24328.000	-69.928
423	24329.000	-69.935
423	24330.000	-69.941
423	24331.000	-69.947
423	24332.000	-69.952
423	24333.000	-69.956
423	24334.000	-69.961
423	24335.000	-69.964
423	24336.000	-69.968
423	24337.000	-69.971
423	24338.000	-69.974
423	24339.000	-69.976
423	24340.000	-69.978
