# NEST version: 3.8.0
# RecordingBackendASCII version: 2
sender	time_ms	V_m
425	24001.000	-70.000
425	24002.000	-70.000
425	24003.000	-70.000
425	24004.000	-70.000
425	24005.000	-70.000
425	24006.000	-70.000
425	24007.000	-70.000
425	24008.000	-70.000
425	24009.000	-70.000
425	24010.000	-70.000
425	24011.000	-70.000
425	24012.000	-70.000
425	24013.000	-70.000
425	24014.000	-70.000
425	24015.000	-70.000
425	24016.000	-70.000
425	24017.000	-70.000
425	24018.000	-70.000
425	24019.000	-70.000
425	24020.000	-70.000
425	24021.000	-70.000
425	24022.000	-70.000
425	24023.000	-70.000
425	24024.000	-70.000
425	24025.000	-70.000
425	24026.000	-70.000
425	24027.000	-70.000
425	24028.000	-70.000
425	24029.000	-70.000
425	24030.000	-70.000
425	24031.000	-70.000
425	24032.000	-70.000
425	24033.000	-70.000
425	24034.000	-70.000
425	24035.000	-70.000
425	24036.000	-70.000
425	24037.000	-70.000
425	24038.000	-70.000
425	24039.000	-70.000
425	24040.000	-70.000
425	24041.000	-70.000
425	24042.000	-70.000
425	24043.000	-70.000
425	24044.000	-70.000
425	24045.000	-70.000
425	24046.000	-70.000
425	24047.000	-70.000
425	24048.000	-70.000
425	24049.000	-70.000
425	24050.000	-70.000
425	24051.000	-70.000
425	24052.000	-70.000
425	24053.000	-70.000
425	24054.000	-70.000
425	24055.000	-70.000
425	24056.000	-70.000
425	24057.000	-70.000
425	24058.000	-70.000
425	24059.000	-70.000
425	24060.000	-70.000
425	24061.000	-69.979
425	24062.000	-69.915
425	24063.000	-69.848
425	24064.000	-69.796
425	24065.000	-69.762
425	24066.000	-69.745
425	24067.000	-69.740
425	24068.000	-69.744
425	24069.000	-69.755
425	24070.000	-69.768
425	24071.000	-69.784
425	24072.000	-69.800
425	24073.000	-69.816
425	24074.000	-69.832
425	24075.000	-69.847
425	24076.000	-69.861
425	24077.000	-69.873
425	24078.000	-69.885
425	24079.000	-69.896
425	24080.000	-69.906
425	24081.000	-69.914
425	24082.000	-69.923
425	24083.000	-69.930
425	24084.000	-69.937
425	24085.000	-69.943
425	24086.000	-69.948
425	24087.000	-69.953
425	24088.000	-69.957
425	24089.000	-69.961
425	24090.000	-69.965
425	24091.000	-69.968
425	24092.000	-69.971
425	24093.000	-69.974
425	24094.000	-69.977
425	24095.000	-69.979
425	24096.000	-69.981
425	24097.000	-69.983
425	24098.000	-69.984
425	24099.000	-69.986
425	24100.000	-69.987
425	24101.000	-69.988
425	24102.000	-69.989
425	24103.000	-69.990
425	24104.000	-69.991
425	24105.000	-69.992
425	24106.000	-69.993
425	24107.000	-69.994
425	24108.000	-69.994
425	24109.000	-69.995
425	24110.000	-69.995
425	24111.000	-69.996
425	24112.000	-69.996
425	24113.000	-69.997
425	24114.000	-69.997
425	24115.000	-69.997
425	24116.000	-69.997
425	24117.000	-69.998
425	24118.000	-69.998
425	24119.000	-69.998
425	24120.000	-69.998
425	24121.000	-69.998
425	24122.000	-69.991
425	24123.000	-69.934
425	24124.000	-69.865
425	24125.000	-69.808
425	24126.000	-69.769
425	24127.000	-69.747
425	24128.000	-69.740
425	24129.000	-69.742
425	24130.000	-69.750
425	24131.000	-69.763
425	24132.000	-69.779
425	24133.000	-69.795
425	24134.000	-69.811
425	24135.000	-69.827
425	24136.000	-69.842
425	24137.000	-69.856
425	24138.000	-69.869
425	24139.000	-69.881
425	24140.000	-69.892
425	24141.000	-69.902
425	24142.000	-69.912
425	24143.000	-69.920
425	24144.000	-69.928
425	24145.000	-69.934
425	24146.000	-69.941
425	24147.000	-69.946
425	24148.000	-69.951
425	24149.000	-69.956
425	24150.000	-69.960
425	24151.000	-69.964
425	24152.000	-69.967
425	24153.000	-69.971
425	24154.000	-69.973
425	24155.000	-69.976
425	24156.000	-69.978
425	24157.000	-69.980
425	24158.000	-69.982
425	24159.000	-69.984
425	24160.000	-69.985
425	24161.000	-69.987
425	24162.000	-69.988
425	24163.000	-69.989
425	24164.000	-69.990
425	24165.000	-69.991
425	24166.000	-69.992
425	24167.000	-69.993
425	24168.000	-69.993
425	24169.000	-69.994
425	24170.000	-69.995
425	24171.000	-69.995
425	24172.000	-69.996
425	24173.000	-69.996
425	24174.000	-69.996
425	24175.000	-69.997
425	24176.000	-69.997
425	24177.000	-69.997
425	24178.000	-69.998
425	24179.000	-69.998
425	24180.000	-69.998
425	24181.000	-69.998
425	24182.000	-69.998
425	24183.000	-69.998
425	24184.000	-69.954
425	24185.000	-69.886
425	24186.000	-69.824
425	24187.000	-69.779
425	24188.000	-69.752
425	24189.000	-69.741
425	24190.000	-69.740
425	24191.000	-69.747
425	24192.000	-69.759
425	24193.000	-69.774
425	24194.000	-69.790
425	24195.000	-69.806
425	24196.000	-69.822
425	24197.000	-69.838
425	24198.000	-69.852
425	24199.000	-69.865
425	24200.000	-69.878
425	24201.000	-69.889
425	24202.000	-69.900
425	24203.000	-69.909
425	24204.000	-69.918
425	24205.000	-69.925
425	24206.000	-69.932
425	24207.000	-69.939
425	24208.000	-69.945
425	24209.000	-69.950
425	24210.000	-69.955
425	24211.000	-69.959
425	24212.000	-69.963
425	24213.000	-69.966
425	24214.000	-69.970
425	24215.000	-69.973
425	24216.000	-69.975
425	24217.000	-69.977
425	24218.000	-69.980
425	24219.000	-69.982
425	24220.000	-69.983
425	24221.000	-69.985
425	24222.000	-69.986
425	24223.000	-69.988
425	24224.000	-69.989
425	24225.000	-69.990
425	24226.000	-69.991
425	24227.000	-69.992
425	24228.000	-69.993
425	24229.000	-69.993
425	24230.000	-69.994
425	24231.000	-69.994
425	24232.000	-69.995
425	24233.000	-69.995
425	24234.000	-69.996
425	24235.000	-69.996
425	24236.000	-69.997
425	24237.000	-69.997
425	24238.000	-69.997
425	24239.000	-69.998
425	24240.000	-69.998
425	24241.000	-69.998
425	24242.000	-69.998
425	24243.000	-69.998
425	24244.000	-69.998
425	24245.000	-69.973
425	24246.000	-69.906
425	24247.000	-69.841
425	24248.000	-69.790
425	24249.000	-69.759
425	24250.000	-69.743
425	24251.000	-69.739
425	24252.000	-69.744
425	24253.000	-69.755
425	24254.000	-69.769
425	24255.000	-69.785
425	24256.000	-69.801
425	24257.000	-69.818
425	24258.000	-69.833
425	24259.000	-69.848
425	24260.000	-69.862
425	24261.000	-69.874
425	24262.000	-69.886
425	24263.000	-69.897
425	24264.000	-69.906
425	24265.000	-69.915
425	24266.000	-69.923
425	24267.000	-69.930
425	24268.000	-69.937
425	24269.000	-69.943
425	24270.000	-69.948
425	24271.000	-69.953
425	24272.000	-69.958
425	24273.000	-69.962
425	24274.000	-69.965
425	24275.000	-69.969
425	24276.000	-69.972
425	24277.000	-69.974
425	24278.000	-69.977
425	24279.000	-69.979
425	24280.000	-69.981
425	24281.000	-69.983
425	24282.000	-69.984
425	24283.000	-69.986
425	24284.000	-69.987
425	24285.000	-69.988
425	24286.000	-69.990
425	24287.000	-69.991
425	24288.000	-69.991
425	24289.000	-69.992
425	24290.000	-69.993
425	24291.000	-69.994
425	24292.000	-69.994
425	24293.000	-69.995
425	24294.000	-69.995
425	24295.000	-69.996
425	24296.000	-69.996
425	24297.000	-69.997
425	24298.000	-69.997
425	24299.000	-69.997
425	24300.000	-69.997
425	24301.000	-69.998
425	24302.000	-69.998
425	24303.000	-69.998
425	24304.000	-69.998
425	24305.000	-69.998
425	24306.000	-69.987
425	24307.000	-69.927
425	24308.000	-69.859
425	24309.000	-69.803
425	24310.000	-69.766
425	24311.000	-69.746
425	24312.000	-69.739
425	24313.000	-69.742
425	24314.000	-69.752
425	24315.000	-69.765
425	24316.000	-69.780
425	24317.000	-69.796
425	24318.000	-69.813
425	24319.000	-69.829
425	24320.000	-69.844
425	24321.000	-69.858
425	24322.000	-69.871
425	24323.000	-69.883
425	24324.000	-69.893
425	24325.000	-69.903
425	24326.000	-69.913
425	24327.000	-69.921
425	24328.000	-69.928
425	24329.000	-69.935
425	24330.000	-69.941
425	24331.000	-69.947
425	24332.000	-69.952
425	24333.000	-69.956
425	24334.000	-69.961
425	24335.000	-69.964
425	24336.000	-69.968
425	24337.000	-69.971
425	24338.000	-69.974
425	24339.000	-69.976
425	24340.000	-69.978
425	24341.000	-69.980
425	24342.000	-69.982
425	24343.000	-69.984
425	24344.000	-69.986
425	24345.000	-69.987
425	24346.000	-69.988
425	24347.000	-69.989
425	24348.000	-69.990
425	24349.000	-69.991
425	24350.000	-69.992
425	24351.000	-69.993
425	24352.000	-69.993
425	24353.000	-69.994
425	24354.000	-69.995
425	24355.000	-69.995
425	24356.000	-69.996
425	24357.000	-69.996
425	24358.000	-69.996
425	24359.000	-69.997
425	24360.000	-69.997
425	24361.000	-69.997
425	24362.000	-69.998
425	24363.000	-69.998
425	24364.000	-69.998
425	24365.000	-69.998
425	24366.000	-69.998
425	24367.000	-69.997
425	24368.000	-69.948
425	24369.000	-69.879
425	24370.000	-69.818
425	24371.000	-69.776
425	24372.000	-69.751
425	24373.000	-69.740
425	24374.000	-69.741
425	24375.000	-69.748
425	24376.000	-69.761
425	24377.000	-69.775
425	24378.000	-69.792
425	24379.000	-69.808
425	24380.000	-69.824
425	24381.000	-69.839
425	24382.000	-69.853
425	24383.000	-69.867
425	24384.000	-69.879
425	24385.000	-69.890
425	24386.000	-69.901
425	24387.000	-69.910
425	24388.000	-69.918
425	24389.000	-69.926
425	24390.000	-69.933
425	24391.000	-69.939
425	24392.000	-69.945
425	24393.000	-69.950
425	24394.000	-69.955
425	24395.000	-69.959
425	24396.000	-69.963
425	24397.000	-69.967
425	24398.000	-69.970
425	24399.000	-69.973
425	24400.000	-69.975
425	24401.000	-69.978
425	24402.000	-69.980
425	24403.000	-69.982
425	24404.000	-69.983
425	24405.000	-69.985
425	24406.000	-69.986
425	24407.000	-69.988
425	24408.000	-69.989
425	24409.000	-69.990
425	24410.000	-69.991
425	24411.000	-69.992
425	24412.000	-69.993
425	24413.000	-69.993
425	24414.000	-69.994
425	24415.000	-69.995
425	24416.000	-69.995
425	24417.000	-69.996
425	24418.000	-69.996
425	24419.000	-69.996
425	24420.000	-69.997
425	24421.000	-69.997
425	24422.000	-69.997
425	24423.000	-69.998
425	24424.000	-69.998
425	24425.000	-69.998
425	24426.000	-69.998
425	24427.000	-69.998
425	24428.000	-69.999
425	24429.000	-69.967
425	24430.000	-69.899
425	24431.000	-69.835
425	24432.000	-69.786
425	24433.000	-69.756
425	24434.000	-69.742
425	24435.000	-69.740
425	24436.000	-69.745
425	24437.000	-69.757
425	24438.000	-69.771
425	24439.000	-69.787
425	24440.000	-69.803
425	24441.000	-69.819
425	24442.000	-69.835
425	24443.000	-69.849
425	24444.000	-69.863
425	24445.000	-69.875
425	24446.000	-69.887
425	24447.000	-69.898
425	24448.000	-69.907
425	24449.000	-69.916
425	24450.000	-69.924
425	24451.000	-69.931
425	24452.000	-69.938
425	24453.000	-69.944
425	24454.000	-69.949
425	24455.000	-69.954
425	24456.000	-69.958
425	24457.000	-69.962
425	24458.000	-69.966
425	24459.000	-69.969
425	24460.000	-69.972
425	24461.000	-69.975
425	24462.000	-69.977
425	24463.000	-69.979
425	24464.000	-69.981
425	24465.000	-69.983
425	24466.000	-69.985
425	24467.000	-69.986
425	24468.000	-69.987
425	24469.000	-69.989
425	24470.000	-69.990
425	24471.000	-69.991
425	24472.000	-69.992
425	24473.000	-69.992
425	24474.000	-69.993
425	24475.000	-69.994
425	24476.000	-69.994
425	24477.000	-69.995
425	24478.000	-69.995
425	24479.000	-69.996
425	24480.000	-69.996
425	24481.000	-69.997
425	24482.000	-69.997
425	24483.000	-69.997
425	24484.000	-69.997
425	24485.000	-69.998
425	24486.000	-69.998
425	24487.000	-69.998
425	24488.000	-69.998
425	24489.000	-69.998
425	24490.000	-69.983
425	24491.000	-69.920
425	24492.000	-69.853
425	24493.000	-69.799
425	24494.000	-69.764
425	24495.000	-69.745
425	24496.000	-69.739
425	24497.000	-69.743
425	24498.000	-69.753
425	24499.000	-69.766
425	24500.000	-69.782
425	24501.000	-69.798
425	24502.000	-69.814
425	24503.000	-69.830
425	24504.000	-69.845
425	24505.000	-69.859
425	24506.000	-69.872
425	24507.000	-69.884
425	24508.000	-69.895
425	24509.000	-69.904
425	24510.000	-69.913
425	24511.000	-69.922
425	24512.000	-69.929
425	24513.000	-69.936
425	24514.000	-69.942
425	24515.000	-69.947
425	24516.000	-69.952
425	24517.000	-69.957
425	24518.000	-69.961
425	24519.000	-69.965
425	24520.000	-69.968
425	24521.000	-69.971
425	24522.000	-69.974
425	24523.000	-69.976
425	24524.000	-69.979
425	24525.000	-69.981
425	24526.000	-69.982
425	24527.000	-69.984
425	24528.000	-69.986
425	24529.000	-69.987
425	24530.000	-69.988
425	24531.000	-69.989
425	24532.000	-69.990
425	24533.000	-69.991
425	24534.000	-69.992
425	24535.000	-69.993
425	24536.000	-69.994
425	24537.000	-69.994
425	24538.000	-69.995
425	24539.000	-69.995
425	24540.000	-69.996
425	24541.000	-69.996
425	24542.000	-69.996
425	24543.000	-69.997
425	24544.000	-69.997
425	24545.000	-69.997
425	24546.000	-69.998
425	24547.000	-69.998
425	24548.000	-69.998
425	24549.000	-69.998
425	24550.000	-69.998
425	24551.000	-69.994
425	24552.000	-69.941
425	24553.000	-69.872
425	24554.000	-69.813
425	24555.000	-69.772
425	24556.000	-69.749
425	24557.000	-69.740
425	24558.000	-69.741
425	24559.000	-69.749
425	24560.000	-69.762
425	24561.000	-69.777
425	24562.000	-69.793
425	24563.000	-69.810
425	24564.000	-69.825
425	24565.000	-69.841
425	24566.000	-69.855
425	24567.000	-69.868
425	24568.000	-69.880
425	24569.000	-69.891
425	24570.000	-69.902
425	24571.000	-69.911
425	24572.000	-69.919
425	24573.000	-69.927
425	24574.000	-69.934
425	24575.000	-69.940
425	24576.000	-69.946
425	24577.000	-69.951
425	24578.000	-69.956
425	24579.000	-69.960
425	24580.000	-69.964
425	24581.000	-69.967
425	24582.000	-69.970
425	24583.000	-69.973
425	24584.000	-69.976
425	24585.000	-69.978
425	24586.000	-69.980
425	24587.000	-69.982
425	24588.000	-69.984
425	24589.000	-69.985
425	24590.000	-69.987
425	24591.000	-69.988
425	24592.000	-69.989
425	24593.000	-69.990
425	24594.000	-69.991
425	24595.000	-69.992
425	24596.000	-69.993
425	24597.000	-69.993
425	24598.000	-69.994
425	24599.000	-69.995
425	24600.000	-69.995
425	24601.000	-69.996
425	24602.000	-69.996
425	24603.000	-69.996
425	24604.000	-69.997
425	24605.000	-69.997
425	24606.000	-69.997
425	24607.000	-69.998
425	24608.000	-69.998
425	24609.000	-69.998
425	24610.000	-69.998
425	24611.000	-69.998
425	24612.000	-69.999
425	24613.000	-69.961
425	24614.000	-69.892
425	24615.000	-69.829
425	24616.000	-69.783
425	24617.000	-69.754
425	24618.000	-69.741
425	24619.000	-69.740
425	24620.000	-69.746
425	24621.000	-69.758
425	24622.000	-69.772
425	24623.000	-69.788
425	24624.000	-69.805
425	24625.000	-69.821
425	24626.000	-69.836
425	24627.000	-69.851
425	24628.000	-69.864
425	24629.000	-69.877
425	24630.000	-69.888
425	24631.000	-69.899
425	24632.000	-69.908
425	24633.000	-69.917
425	24634.000	-69.925
425	24635.000	-69.932
425	24636.000	-69.938
425	24637.000	-69.944
425	24638.000	-69.949
