# NEST version: 3.8.0
# RecordingBackendASCII version: 2
sender	time_ms	V_m
431	24001.000	-70.000
431	24002.000	-70.000
431	24003.000	-70.000
431	24004.000	-70.000
431	24005.000	-70.000
431	24006.000	-70.000
431	24007.000	-70.000
431	24008.000	-70.000
431	24009.000	-70.000
431	24010.000	-70.000
431	24011.000	-70.000
431	24012.000	-70.000
431	24013.000	-70.000
431	24014.000	-70.000
431	24015.000	-70.000
431	24016.000	-70.000
431	24017.000	-70.000
431	24018.000	-70.000
431	24019.000	-70.000
431	24020.000	-70.000
431	24021.000	-70.000
431	24022.000	-70.000
431	24023.000	-70.000
431	24024.000	-70.000
431	24025.000	-70.000
431	24026.000	-70.000
431	24027.000	-70.000
431	24028.000	-70.000
431	24029.000	-70.000
431	24030.000	-70.000
431	24031.000	-70.000
431	24032.000	-70.000
431	24033.000	-70.000
431	24034.000	-70.000
431	24035.000	-70.000
431	24036.000	-70.000
431	24037.000	-70.000
431	24038.000	-70.000
431	24039.000	-70.000
431	24040.000	-70.000
431	24041.000	-70.000
431	24042.000	-70.000
431	24043.000	-70.000
431	24044.000	-70.000
431	24045.000	-70.000
431	24046.000	-70.000
431	24047.000	-70.000
431	24048.000	-70.000
431	24049.000	-70.000
431	24050.000	-70.000
431	24051.000	-70.000
431	24052.000	-70.000
431	24053.000	-70.000
431	24054.000	-70.000
431	24055.000	-70.000
431	24056.000	-70.000
431	24057.000	-70.000
431	24058.000	-70.000
431	24059.000	-70.000
431	24060.000	-70.000
431	24061.000	-69.979
431	24062.000	-69.915
431	24063.000	-69.848
431	24064.000	-69.796
431	24065.000	-69.762
431	24066.000	-69.745
431	24067.000	-69.740
431	24068.000	-69.744
431	24069.000	-69.755
431	24070.000	-69.768
431	24071.000	-69.784
431	24072.000	-69.800
431	24073.000	-69.816
431	24074.000	-69.832
431	24075.000	-69.847
431	24076.000	-69.861
431	24077.000	-69.873
431	24078.000	-69.885
431	24079.000	-69.896
431	24080.000	-69.906
431	24081.000	-69.914
431	24082.000	-69.923
431	24083.000	-69.930
431	24084.000	-69.937
431	24085.000	-69.943
431	24086.000	-69.948
431	24087.000	-69.953
431	24088.000	-69.957
431	24089.000	-69.961
431	24090.000	-69.965
431	24091.000	-69.968
431	24092.000	-69.971
431	24093.000	-69.974
431	24094.000	-69.977
431	24095.000	-69.979
431	24096.000	-69.981
431	24097.000	-69.983
431	24098.000	-69.984
431	24099.000	-69.986
431	24100.000	-69.987
431	24101.000	-69.988
431	24102.000	-69.989
431	24103.000	-69.990
431	24104.000	-69.991
431	24105.000	-69.992
431	24106.000	-69.993
431	24107.000	-69.994
431	24108.000	-69.994
431	24109.000	-69.995
431	24110.000	-69.995
431	24111.000	-69.996
431	24112.000	-69.996
431	24113.000	-69.997
431	24114.000	-69.997
431	24115.000	-69.997
431	24116.000	-69.997
431	24117.000	-69.998
431	24118.000	-69.998
431	24119.000	-69.998
431	24120.000	-69.998
431	24121.000	-69.998
