# NEST version: 3.8.0
# RecordingBackendASCII version: 2
sender	time_ms	V_m
426	24001.000	-70.000
426	24002.000	-70.000
426	24003.000	-70.000
426	24004.000	-70.000
426	24005.000	-70.000
426	24006.000	-70.000
426	24007.000	-70.000
426	24008.000	-70.000
426	24009.000	-70.000
426	24010.000	-70.000
426	24011.000	-70.000
426	24012.000	-70.000
426	24013.000	-70.000
426	24014.000	-70.000
426	24015.000	-70.000
426	24016.000	-70.000
426	24017.000	-70.000
426	24018.000	-70.000
426	24019.000	-70.000
426	24020.000	-70.000
426	24021.000	-70.000
426	24022.000	-70.000
426	24023.000	-70.000
426	24024.000	-70.000
426	24025.000	-70.000
426	24026.000	-70.000
426	24027.000	-70.000
426	24028.000	-70.000
426	24029.000	-70.000
426	24030.000	-70.000
426	24031.000	-70.000
426	24032.000	-70.000
426	24033.000	-70.000
426	24034.000	-70.000
426	24035.000	-70.000
426	24036.000	-70.000
426	24037.000	-70.000
426	24038.000	-70.000
426	24039.000	-70.000
426	24040.000	-70.000
426	24041.000	-70.000
426	24042.000	-70.000
426	24043.000	-70.000
426	24044.000	-70.000
426	24045.000	-70.000
426	24046.000	-70.000
426	24047.000	-70.000
426	24048.000	-70.000
426	24049.000	-70.000
426	24050.000	-70.000
426	24051.000	-70.000
426	24052.000	-70.000
426	24053.000	-70.000
426	24054.000	-70.000
426	24055.000	-70.000
426	24056.000	-70.000
426	24057.000	-70.000
426	24058.000	-70.000
426	24059.000	-70.000
426	24060.000	-70.000
426	24061.000	-69.979
426	24062.000	-69.915
426	24063.000	-69.848
426	24064.000	-69.796
426	24065.000	-69.762
426	24066.000	-69.745
426	24067.000	-69.740
426	24068.000	-69.744
426	24069.000	-69.755
426	24070.000	-69.768
426	24071.000	-69.784
426	24072.000	-69.800
426	24073.000	-69.816
426	24074.000	-69.832
426	24075.000	-69.847
426	24076.000	-69.861
426	24077.000	-69.873
426	24078.000	-69.885
426	24079.000	-69.896
426	24080.000	-69.906
426	24081.000	-69.914
426	24082.000	-69.923
426	24083.000	-69.930
426	24084.000	-69.937
426	24085.000	-69.943
426	24086.000	-69.948
426	24087.000	-69.953
426	24088.000	-69.957
426	24089.000	-69.961
426	24090.000	-69.965
426	24091.000	-69.968
426	24092.000	-69.971
426	24093.000	-69.974
426	24094.000	-69.977
426	24095.000	-69.979
426	24096.000	-69.981
426	24097.000	-69.983
426	24098.000	-69.984
426	24099.000	-69.986
426	24100.000	-69.987
426	24101.000	-69.988
426	24102.000	-69.989
426	24103.000	-69.990
426	24104.000	-69.991
426	24105.000	-69.992
426	24106.000	-69.993
426	24107.000	-69.994
426	24108.000	-69.994
426	24109.000	-69.995
426	24110.000	-69.995
426	24111.000	-69.996
426	24112.000	-69.996
426	24113.000	-69.997
426	24114.000	-69.997
426	24115.000	-69.997
426	24116.000	-69.997
426	24117.000	-69.998
426	24118.000	-69.998
426	24119.000	-69.998
426	24120.000	-69.998
426	24121.000	-69.998
426	24122.000	-69.991
426	24123.000	-69.934
426	24124.000	-69.865
426	24125.000	-69.808
426	24126.000	-69.769
426	24127.000	-69.747
426	24128.000	-69.740
426	24129.000	-69.742
426	24130.000	-69.750
426	24131.000	-69.763
426	24132.000	-69.779
426	24133.000	-69.795
426	24134.000	-69.811
426	24135.000	-69.827
426	24136.000	-69.842
426	24137.000	-69.856
426	24138.000	-69.869
426	24139.000	-69.881
426	24140.000	-69.892
426	24141.000	-69.902
426	24142.000	-69.912
426	24143.000	-69.920
426	24144.000	-69.928
426	24145.000	-69.934
426	24146.000	-69.941
426	24147.000	-69.946
426	24148.000	-69.951
426	24149.000	-69.956
426	24150.000	-69.960
426	24151.000	-69.964
426	24152.000	-69.967
426	24153.000	-69.971
426	24154.000	-69.973
426	24155.000	-69.976
426	24156.000	-69.978
426	24157.000	-69.980
426	24158.000	-69.982
426	24159.000	-69.984
426	24160.000	-69.985
426	24161.000	-69.987
426	24162.000	-69.988
426	24163.000	-69.989
426	24164.000	-69.990
426	24165.000	-69.991
426	24166.000	-69.992
426	24167.000	-69.993
426	24168.000	-69.993
426	24169.000	-69.994
426	24170.000	-69.995
426	24171.000	-69.995
426	24172.000	-69.996
426	24173.000	-69.996
426	24174.000	-69.996
426	24175.000	-69.997
426	24176.000	-69.997
426	24177.000	-69.997
426	24178.000	-69.998
426	24179.000	-69.998
426	24180.000	-69.998
426	24181.000	-69.998
426	24182.000	-69.998
426	24183.000	-69.998
426	24184.000	-69.954
426	24185.000	-69.886
426	24186.000	-69.824
426	24187.000	-69.779
426	24188.000	-69.752
426	24189.000	-69.741
426	24190.000	-69.740
426	24191.000	-69.747
426	24192.000	-69.759
426	24193.000	-69.774
426	24194.000	-69.790
426	24195.000	-69.806
426	24196.000	-69.822
426	24197.000	-69.838
426	24198.000	-69.852
426	24199.000	-69.865
426	24200.000	-69.878
426	24201.000	-69.889
426	24202.000	-69.900
426	24203.000	-69.909
426	24204.000	-69.918
426	24205.000	-69.925
426	24206.000	-69.932
426	24207.000	-69.939
426	24208.000	-69.945
426	24209.000	-69.950
426	24210.000	-69.955
426	24211.000	-69.959
426	24212.000	-69.963
426	24213.000	-69.966
426	24214.000	-69.970
426	24215.000	-69.973
426	24216.000	-69.975
426	24217.000	-69.977
426	24218.000	-69.980
426	24219.000	-69.982
426	24220.000	-69.983
426	24221.000	-69.985
426	24222.000	-69.986
426	24223.000	-69.988
426	24224.000	-69.989
426	24225.000	-69.990
426	24226.000	-69.991
426	24227.000	-69.992
426	24228.000	-69.993
426	24229.000	-69.993
426	24230.000	-69.994
426	24231.000	-69.994
426	24232.000	-69.995
426	24233.000	-69.995
426	24234.000	-69.996
426	24235.000	-69.996
426	24236.000	-69.997
426	24237.000	-69.997
426	24238.000	-69.997
426	24239.000	-69.998
426	24240.000	-69.998
426	24241.000	-69.998
426	24242.000	-69.998
426	24243.000	-69.998
426	24244.000	-69.998
426	24245.000	-69.973
426	24246.000	-69.906
426	24247.000	-69.841
426	24248.000	-69.790
426	24249.000	-69.759
426	24250.000	-69.743
426	24251.000	-69.739
426	24252.000	-69.744
426	24253.000	-69.755
426	24254.000	-69.769
426	24255.000	-69.785
426	24256.000	-69.801
426	24257.000	-69.818
426	24258.000	-69.833
426	24259.000	-69.848
426	24260.000	-69.862
426	24261.000	-69.874
426	24262.000	-69.886
426	24263.000	-69.897
426	24264.000	-69.906
426	24265.000	-69.915
426	24266.000	-69.923
426	24267.000	-69.930
426	24268.000	-69.937
426	24269.000	-69.943
426	24270.000	-69.948
426	24271.000	-69.953
426	24272.000	-69.958
426	24273.000	-69.962
426	24274.000	-69.965
426	24275.000	-69.969
426	24276.000	-69.972
426	24277.000	-69.974
426	24278.000	-69.977
426	24279.000	-69.979
426	24280.000	-69.981
426	24281.000	-69.983
426	24282.000	-69.984
426	24283.000	-69.986
426	24284.000	-69.987
426	24285.000	-69.988
426	24286.000	-69.990
426	24287.000	-69.991
426	24288.000	-69.991
426	24289.000	-69.992
426	24290.000	-69.993
426	24291.000	-69.994
426	24292.000	-69.994
426	24293.000	-69.995
426	24294.000	-69.995
426	24295.000	-69.996
426	24296.000	-69.996
426	24297.000	-69.997
426	24298.000	-69.997
426	24299.000	-69.997
426	24300.000	-69.997
426	24301.000	-69.998
426	24302.000	-69.998
426	24303.000	-69.998
426	24304.000	-69.998
426	24305.000	-69.998
426	24306.000	-69.987
426	24307.000	-69.927
426	24308.000	-69.859
426	24309.000	-69.803
426	24310.000	-69.766
426	24311.000	-69.746
426	24312.000	-69.739
426	24313.000	-69.742
426	24314.000	-69.752
426	24315.000	-69.765
426	24316.000	-69.780
426	24317.000	-69.796
426	24318.000	-69.813
426	24319.000	-69.829
426	24320.000	-69.844
426	24321.000	-69.858
426	24322.000	-69.871
426	24323.000	-69.883
426	24324.000	-69.893
426	24325.000	-69.903
426	24326.000	-69.913
426	24327.000	-69.921
426	24328.000	-69.928
426	24329.000	-69.935
426	24330.000	-69.941
426	24331.000	-69.947
426	24332.000	-69.952
426	24333.000	-69.956
426	24334.000	-69.961
426	24335.000	-69.964
426	24336.000	-69.968
426	24337.000	-69.971
426	24338.000	-69.974
426	24339.000	-69.976
426	24340.000	-69.978
426	24341.000	-69.980
426	24342.000	-69.982
426	24343.000	-69.984
426	24344.000	-69.986
426	24345.000	-69.987
426	24346.000	-69.988
426	24347.000	-69.989
426	24348.000	-69.990
426	24349.000	-69.991
426	24350.000	-69.992
426	24351.000	-69.993
426	24352.000	-69.993
426	24353.000	-69.994
426	24354.000	-69.995
426	24355.000	-69.995
426	24356.000	-69.996
426	24357.000	-69.996
426	24358.000	-69.996
426	24359.000	-69.997
426	24360.000	-69.997
426	24361.000	-69.997
426	24362.000	-69.998
426	24363.000	-69.998
426	24364.000	-69.998
426	24365.000	-69.998
426	24366.000	-69.998
426	24367.000	-69.997
426	24368.000	-69.948
426	24369.000	-69.879
426	24370.000	-69.818
426	24371.000	-69.776
426	24372.000	-69.751
426	24373.000	-69.740
426	24374.000	-69.741
426	24375.000	-69.748
426	24376.000	-69.761
426	24377.000	-69.775
426	24378.000	-69.792
426	24379.000	-69.808
426	24380.000	-69.824
426	24381.000	-69.839
426	24382.000	-69.853
426	24383.000	-69.867
426	24384.000	-69.879
426	24385.000	-69.890
426	24386.000	-69.901
426	24387.000	-69.910
426	24388.000	-69.918
426	24389.000	-69.926
426	24390.000	-69.933
426	24391.000	-69.939
426	24392.000	-69.945
426	24393.000	-69.950
426	24394.000	-69.955
426	24395.000	-69.959
426	24396.000	-69.963
426	24397.000	-69.967
426	24398.000	-69.970
426	24399.000	-69.973
426	24400.000	-69.975
426	24401.000	-69.978
426	24402.000	-69.980
426	24403.000	-69.982
426	24404.000	-69.983
426	24405.000	-69.985
426	24406.000	-69.986
426	24407.000	-69.988
426	24408.000	-69.989
426	24409.000	-69.990
426	24410.000	-69.991
426	24411.000	-69.992
426	24412.000	-69.993
426	24413.000	-69.993
426	24414.000	-69.994
426	24415.000	-69.995
426	24416.000	-69.995
426	24417.000	-69.996
426	24418.000	-69.996
426	24419.000	-69.996
426	24420.000	-69.997
426	24421.000	-69.997
426	24422.000	-69.997
426	24423.000	-69.998
426	24424.000	-69.998
426	24425.000	-69.998
426	24426.000	-69.998
426	24427.000	-69.998
426	24428.000	-69.999
426	24429.000	-69.967
426	24430.000	-69.899
426	24431.000	-69.835
426	24432.000	-69.786
426	24433.000	-69.756
426	24434.000	-69.742
426	24435.000	-69.740
426	24436.000	-69.745
426	24437.000	-69.757
426	24438.000	-69.771
426	24439.000	-69.787
426	24440.000	-69.803
426	24441.000	-69.819
426	24442.000	-69.835
426	24443.000	-69.849
426	24444.000	-69.863
426	24445.000	-69.875
426	24446.000	-69.887
426	24447.000	-69.898
426	24448.000	-69.907
426	24449.000	-69.916
426	24450.000	-69.924
426	24451.000	-69.931
426	24452.000	-69.938
426	24453.000	-69.944
426	24454.000	-69.949
426	24455.000	-69.954
426	24456.000	-69.958
426	24457.000	-69.962
426	24458.000	-69.966
426	24459.000	-69.969
426	24460.000	-69.972
426	24461.000	-69.975
426	24462.000	-69.977
426	24463.000	-69.979
426	24464.000	-69.981
426	24465.000	-69.983
426	24466.000	-69.985
426	24467.000	-69.986
426	24468.000	-69.987
426	24469.000	-69.989
426	24470.000	-69.990
426	24471.000	-69.991
426	24472.000	-69.992
426	24473.000	-69.992
426	24474.000	-69.993
426	24475.000	-69.994
426	24476.000	-69.994
426	24477.000	-69.995
426	24478.000	-69.995
426	24479.000	-69.996
426	24480.000	-69.996
426	24481.000	-69.997
426	24482.000	-69.997
426	24483.000	-69.997
426	24484.000	-69.997
426	24485.000	-69.998
426	24486.000	-69.998
426	24487.000	-69.998
426	24488.000	-69.998
426	24489.000	-69.998
426	24490.000	-69.983
426	24491.000	-69.920
426	24492.000	-69.853
426	24493.000	-69.799
426	24494.000	-69.764
426	24495.000	-69.745
426	24496.000	-69.739
426	24497.000	-69.743
426	24498.000	-69.753
426	24499.000	-69.766
426	24500.000	-69.782
426	24501.000	-69.798
426	24502.000	-69.814
426	24503.000	-69.830
426	24504.000	-69.845
426	24505.000	-69.859
426	24506.000	-69.872
426	24507.000	-69.884
426	24508.000	-69.895
426	24509.000	-69.904
426	24510.000	-69.913
426	24511.000	-69.922
426	24512.000	-69.929
426	24513.000	-69.936
426	24514.000	-69.942
426	24515.000	-69.947
426	24516.000	-69.952
426	24517.000	-69.957
426	24518.000	-69.961
426	24519.000	-69.965
426	24520.000	-69.968
426	24521.000	-69.971
426	24522.000	-69.974
426	24523.000	-69.976
426	24524.000	-69.979
426	24525.000	-69.981
426	24526.000	-69.982
426	24527.000	-69.984
426	24528.000	-69.986
426	24529.000	-69.987
426	24530.000	-69.988
426	24531.000	-69.989
426	24532.000	-69.990
426	24533.000	-69.991
426	24534.000	-69.992
