# NEST version: 3.8.0
# RecordingBackendASCII version: 2
sender	time_ms	V_m
430	24001.000	-70.000
430	24002.000	-70.000
430	24003.000	-70.000
430	24004.000	-70.000
430	24005.000	-70.000
430	24006.000	-70.000
430	24007.000	-70.000
430	24008.000	-70.000
430	24009.000	-70.000
430	24010.000	-70.000
430	24011.000	-70.000
430	24012.000	-70.000
430	24013.000	-70.000
430	24014.000	-70.000
430	24015.000	-70.000
430	24016.000	-70.000
430	24017.000	-70.000
430	24018.000	-70.000
430	24019.000	-70.000
430	24020.000	-70.000
430	24021.000	-70.000
430	24022.000	-70.000
430	24023.000	-70.000
430	24024.000	-70.000
430	24025.000	-70.000
430	24026.000	-70.000
430	24027.000	-70.000
430	24028.000	-70.000
430	24029.000	-70.000
430	24030.000	-70.000
430	24031.000	-70.000
430	24032.000	-70.000
430	24033.000	-70.000
430	24034.000	-70.000
430	24035.000	-70.000
430	24036.000	-70.000
430	24037.000	-70.000
430	24038.000	-70.000
430	24039.000	-70.000
430	24040.000	-70.000
430	24041.000	-70.000
430	24042.000	-70.000
430	24043.000	-70.000
430	24044.000	-70.000
430	24045.000	-70.000
430	24046.000	-70.000
430	24047.000	-70.000
430	24048.000	-70.000
430	24049.000	-70.000
430	24050.000	-70.000
430	24051.000	-70.000
430	24052.000	-70.000
430	24053.000	-70.000
430	24054.000	-70.000
430	24055.000	-70.000
430	24056.000	-70.000
430	24057.000	-70.000
430	24058.000	-70.000
430	24059.000	-70.000
430	24060.000	-70.000
430	24061.000	-69.979
430	24062.000	-69.915
430	24063.000	-69.848
430	24064.000	-69.796
430	24065.000	-69.762
430	24066.000	-69.745
430	24067.000	-69.740
430	24068.000	-69.744
430	24069.000	-69.755
430	24070.000	-69.768
430	24071.000	-69.784
430	24072.000	-69.800
430	24073.000	-69.816
430	24074.000	-69.832
430	24075.000	-69.847
430	24076.000	-69.861
430	24077.000	-69.873
430	24078.000	-69.885
430	24079.000	-69.896
430	24080.000	-69.906
430	24081.000	-69.914
430	24082.000	-69.923
430	24083.000	-69.930
430	24084.000	-69.937
430	24085.000	-69.943
430	24086.000	-69.948
430	24087.000	-69.953
430	24088.000	-69.957
430	24089.000	-69.961
430	24090.000	-69.965
430	24091.000	-69.968
430	24092.000	-69.971
430	24093.000	-69.974
430	24094.000	-69.977
430	24095.000	-69.979
430	24096.000	-69.981
430	24097.000	-69.983
430	24098.000	-69.984
430	24099.000	-69.986
430	24100.000	-69.987
430	24101.000	-69.988
430	24102.000	-69.989
430	24103.000	-69.990
430	24104.000	-69.991
430	24105.000	-69.992
430	24106.000	-69.993
430	24107.000	-69.994
430	24108.000	-69.994
430	24109.000	-69.995
430	24110.000	-69.995
430	24111.000	-69.996
430	24112.000	-69.996
430	24113.000	-69.997
430	24114.000	-69.997
430	24115.000	-69.997
430	24116.000	-69.997
430	24117.000	-69.998
430	24118.000	-69.998
