# NEST version: 3.8.0
# RecordingBackendASCII version: 2
sender	time_ms	V_m
422	24001.000	-70.000
422	24002.000	-70.000
422	24003.000	-70.000
422	24004.000	-70.000
422	24005.000	-70.000
422	24006.000	-70.000
422	24007.000	-70.000
422	24008.000	-70.000
422	24009.000	-70.000
422	24010.000	-70.000
422	24011.000	-70.000
422	24012.000	-70.000
422	24013.000	-70.000
422	24014.000	-70.000
422	24015.000	-70.000
422	24016.000	-70.000
422	24017.000	-70.000
422	24018.000	-70.000
422	24019.000	-70.000
422	24020.000	-70.000
422	24021.000	-70.000
422	24022.000	-70.000
422	24023.000	-70.000
422	24024.000	-70.000
422	24025.000	-70.000
422	24026.000	-70.000
422	24027.000	-70.000
422	24028.000	-70.000
422	24029.000	-70.000
422	24030.000	-70.000
422	24031.000	-70.000
422	24032.000	-70.000
422	24033.000	-70.000
422	24034.000	-70.000
422	24035.000	-70.000
422	24036.000	-70.000
422	24037.000	-70.000
422	24038.000	-70.000
422	24039.000	-70.000
422	24040.000	-70.000
422	24041.000	-70.000
422	24042.000	-70.000
422	24043.000	-70.000
422	24044.000	-70.000
422	24045.000	-70.000
422	24046.000	-70.000
422	24047.000	-70.000
422	24048.000	-70.000
422	24049.000	-70.000
422	24050.000	-70.000
422	24051.000	-70.000
422	24052.000	-70.000
422	24053.000	-70.000
422	24054.000	-70.000
422	24055.000	-70.000
422	24056.000	-70.000
422	24057.000	-70.000
422	24058.000	-70.000
422	24059.000	-70.000
422	24060.000	-70.000
422	24061.000	-69.979
422	24062.000	-69.915
422	24063.000	-69.848
422	24064.000	-69.796
422	24065.000	-69.762
422	24066.000	-69.745
422	24067.000	-69.740
422	24068.000	-69.744
422	24069.000	-69.755
422	24070.000	-69.768
422	24071.000	-69.784
422	24072.000	-69.800
422	24073.000	-69.816
422	24074.000	-69.832
422	24075.000	-69.847
422	24076.000	-69.861
422	24077.000	-69.873
422	24078.000	-69.885
422	24079.000	-69.896
422	24080.000	-69.906
422	24081.000	-69.914
422	24082.000	-69.923
422	24083.000	-69.930
422	24084.000	-69.937
422	24085.000	-69.943
422	24086.000	-69.948
422	24087.000	-69.953
422	24088.000	-69.957
422	24089.000	-69.961
422	24090.000	-69.965
422	24091.000	-69.968
422	24092.000	-69.971
422	24093.000	-69.974
422	24094.000	-69.977
422	24095.000	-69.979
422	24096.000	-69.981
422	24097.000	-69.983
422	24098.000	-69.984
422	24099.000	-69.986
422	24100.000	-69.987
422	24101.000	-69.988
422	24102.000	-69.989
422	24103.000	-69.990
422	24104.000	-69.991
422	24105.000	-69.992
422	24106.000	-69.993
422	24107.000	-69.994
422	24108.000	-69.994
422	24109.000	-69.995
422	24110.000	-69.995
422	24111.000	-69.996
422	24112.000	-69.996
422	24113.000	-69.997
422	24114.000	-69.997
422	24115.000	-69.997
422	24116.000	-69.997
422	24117.000	-69.998
422	24118.000	-69.998
422	24119.000	-69.998
422	24120.000	-69.998
422	24121.000	-69.998
422	24122.000	-69.991
422	24123.000	-69.934
422	24124.000	-69.865
422	24125.000	-69.808
422	24126.000	-69.769
422	24127.000	-69.747
422	24128.000	-69.740
422	24129.000	-69.742
422	24130.000	-69.750
422	24131.000	-69.763
422	24132.000	-69.779
422	24133.000	-69.795
422	24134.000	-69.811
422	24135.000	-69.827
422	24136.000	-69.842
422	24137.000	-69.856
422	24138.000	-69.869
422	24139.000	-69.881
422	24140.000	-69.892
422	24141.000	-69.902
422	24142.000	-69.912
422	24143.000	-69.920
422	24144.000	-69.928
422	24145.000	-69.934
422	24146.000	-69.941
422	24147.000	-69.946
422	24148.000	-69.951
422	24149.000	-69.956
422	24150.000	-69.960
422	24151.000	-69.964
422	24152.000	-69.967
422	24153.000	-69.971
422	24154.000	-69.973
422	24155.000	-69.976
422	24156.000	-69.978
422	24157.000	-69.980
422	24158.000	-69.982
422	24159.000	-69.984
422	24160.000	-69.985
422	24161.000	-69.987
422	24162.000	-69.988
422	24163.000	-69.989
422	24164.000	-69.990
422	24165.000	-69.991
422	24166.000	-69.992
422	24167.000	-69.993
422	24168.000	-69.993
422	24169.000	-69.994
422	24170.000	-69.995
422	24171.000	-69.995
422	24172.000	-69.996
422	24173.000	-69.996
422	24174.000	-69.996
422	24175.000	-69.997
422	24176.000	-69.997
422	24177.000	-69.997
422	24178.000	-69.998
422	24179.000	-69.998
422	24180.000	-69.998
422	24181.000	-69.998
422	24182.000	-69.998
422	24183.000	-69.998
422	24184.000	-69.954
422	24185.000	-69.886
422	24186.000	-69.824
422	24187.000	-69.779
422	24188.000	-69.752
422	24189.000	-69.741
422	24190.000	-69.740
422	24191.000	-69.747
422	24192.000	-69.759
422	24193.000	-69.774
422	24194.000	-69.790
422	24195.000	-69.806
422	24196.000	-69.822
422	24197.000	-69.838
422	24198.000	-69.852
422	24199.000	-69.865
422	24200.000	-69.878
422	24201.000	-69.889
422	24202.000	-69.900
422	24203.000	-69.909
422	24204.000	-69.918
422	24205.000	-69.925
422	24206.000	-69.932
422	24207.000	-69.939
422	24208.000	-69.945
422	24209.000	-69.950
422	24210.000	-69.955
422	24211.000	-69.959
422	24212.000	-69.963
422	24213.000	-69.966
422	24214.000	-69.970
422	24215.000	-69.973
422	24216.000	-69.975
422	24217.000	-69.977
422	24218.000	-69.980
422	24219.000	-69.982
422	24220.000	-69.983
422	24221.000	-69.985
422	24222.000	-69.986
422	24223.000	-69.988
422	24224.000	-69.989
422	24225.000	-69.990
422	24226.000	-69.991
422	24227.000	-69.992
422	24228.000	-69.993
422	24229.000	-69.993
422	24230.000	-69.994
422	24231.000	-69.994
422	24232.000	-69.995
422	24233.000	-69.995
422	24234.000	-69.996
422	24235.000	-69.996
422	24236.000	-69.997
422	24237.000	-69.997
422	24238.000	-69.997
422	24239.000	-69.998
422	24240.000	-69.998
422	24241.000	-69.998
422	24242.000	-69.998
422	24243.000	-69.998
422	24244.000	-69.998
422	24245.000	-69.973
422	24246.000	-69.906
422	24247.000	-69.841
422	24248.000	-69.790
422	24249.000	-69.759
422	24250.000	-69.743
422	24251.000	-69.739
422	24252.000	-69.744
422	24253.000	-69.755
422	24254.000	-69.769
422	24255.000	-69.785
422	24256.000	-69.801
422	24257.000	-69.818
422	24258.000	-69.833
422	24259.000	-69.848
422	24260.000	-69.862
422	24261.000	-69.874
422	24262.000	-69.886
422	24263.000	-69.897
422	24264.000	-69.906
422	24265.000	-69.915
422	24266.000	-69.923
422	24267.000	-69.930
422	24268.000	-69.937
422	24269.000	-69.943
422	24270.000	-69.948
422	24271.000	-69.953
422	24272.000	-69.958
422	24273.000	-69.962
422	24274.000	-69.965
422	24275.000	-69.969
422	24276.000	-69.972
422	24277.000	-69.974
422	24278.000	-69.977
422	24279.000	-69.979
422	24280.000	-69.981
422	24281.000	-69.983
422	24282.000	-69.984
422	24283.000	-69.986
422	24284.000	-69.987
422	24285.000	-69.988
422	24286.000	-69.990
422	24287.000	-69.991
422	24288.000	-69.991
422	24289.000	-69.992
422	24290.000	-69.993
422	24291.000	-69.994
422	24292.000	-69.994
422	24293.000	-69.995
422	24294.000	-69.995
422	24295.000	-69.996
422	24296.000	-69.996
422	24297.000	-69.997
422	24298.000	-69.997
422	24299.000	-69.997
422	24300.000	-69.997
422	24301.000	-69.998
422	24302.000	-69.998
422	24303.000	-69.998
422	24304.000	-69.998
422	24305.000	-69.998
422	24306.000	-69.987
422	24307.000	-69.927
422	24308.000	-69.859
422	24309.000	-69.803
422	24310.000	-69.766
422	24311.000	-69.746
422	24312.000	-69.739
422	24313.000	-69.742
422	24314.000	-69.752
422	24315.000	-69.765
422	24316.000	-69.780
422	24317.000	-69.796
422	24318.000	-69.813
422	24319.000	-69.829
422	24320.000	-69.844
422	24321.000	-69.858
422	24322.000	-69.871
422	24323.000	-69.883
422	24324.000	-69.893
422	24325.000	-69.903
422	24326.000	-69.913
422	24327.000	-69.921
422	24328.000	-69.928
422	24329.000	-69.935
422	24330.000	-69.941
422	24331.000	-69.947
422	24332.000	-69.952
422	24333.000	-69.956
422	24334.000	-69.961
422	24335.000	-69.964
422	24336.000	-69.968
422	24337.000	-69.971
422	24338.000	-69.974
422	24339.000	-69.976
422	24340.000	-69.978
422	24341.000	-69.980
422	24342.000	-69.982
422	24343.000	-69.984
422	24344.000	-69.986
422	24345.000	-69.987
422	24346.000	-69.988
422	24347.000	-69.989
422	24348.000	-69.990
422	24349.000	-69.991
422	24350.000	-69.992
422	24351.000	-69.993
422	24352.000	-69.993
422	24353.000	-69.994
422	24354.000	-69.995
422	24355.000	-69.995
422	24356.000	-69.996
422	24357.000	-69.996
422	24358.000	-69.996
422	24359.000	-69.997
422	24360.000	-69.997
422	24361.000	-69.997
422	24362.000	-69.998
422	24363.000	-69.998
422	24364.000	-69.998
422	24365.000	-69.998
422	24366.000	-69.998
422	24367.000	-69.997
422	24368.000	-69.948
422	24369.000	-69.879
422	24370.000	-69.818
422	24371.000	-69.776
422	24372.000	-69.751
422	24373.000	-69.740
422	24374.000	-69.741
422	24375.000	-69.748
422	24376.000	-69.761
422	24377.000	-69.775
422	24378.000	-69.792
422	24379.000	-69.808
422	24380.000	-69.824
422	24381.000	-69.839
422	24382.000	-69.853
422	24383.000	-69.867
422	24384.000	-69.879
422	24385.000	-69.890
422	24386.000	-69.901
422	24387.000	-69.910
422	24388.000	-69.918
422	24389.000	-69.926
422	24390.000	-69.933
422	24391.000	-69.939
422	24392.000	-69.945
422	24393.000	-69.950
422	24394.000	-69.955
422	24395.000	-69.959
422	24396.000	-69.963
422	24397.000	-69.967
422	24398.000	-69.970
422	24399.000	-69.973
422	24400.000	-69.975
422	24401.000	-69.978
422	24402.000	-69.980
422	24403.000	-69.982
422	24404.000	-69.983
422	24405.000	-69.985
422	24406.000	-69.986
422	24407.000	-69.988
422	24408.000	-69.989
422	24409.000	-69.990
422	24410.000	-69.991
422	24411.000	-69.992
422	24412.000	-69.993
422	24413.000	-69.993
422	24414.000	-69.994
422	24415.000	-69.995
422	24416.000	-69.995
422	24417.000	-69.996
422	24418.000	-69.996
422	24419.000	-69.996
422	24420.000	-69.997
422	24421.000	-69.997
422	24422.000	-69.997
422	24423.000	-69.998
422	24424.000	-69.998
422	24425.000	-69.998
422	24426.000	-69.998
422	24427.000	-69.998
422	24428.000	-69.999
422	24429.000	-69.967
422	24430.000	-69.899
422	24431.000	-69.835
422	24432.000	-69.786
422	24433.000	-69.756
422	24434.000	-69.742
422	24435.000	-69.740
422	24436.000	-69.745
422	24437.000	-69.757
422	24438.000	-69.771
422	24439.000	-69.787
422	24440.000	-69.803
422	24441.000	-69.819
422	24442.000	-69.835
422	24443.000	-69.849
422	24444.000	-69.863
422	24445.000	-69.875
422	24446.000	-69.887
422	24447.000	-69.898
422	24448.000	-69.907
422	24449.000	-69.916
422	24450.000	-69.924
422	24451.000	-69.931
422	24452.000	-69.938
422	24453.000	-69.944
422	24454.000	-69.949
422	24455.000	-69.954
422	24456.000	-69.958
422	24457.000	-69.962
422	24458.000	-69.966
422	24459.000	-69.969
422	24460.000	-69.972
422	24461.000	-69.975
422	24462.000	-69.977
422	24463.000	-69.979
422	24464.000	-69.981
422	24465.000	-69.983
422	24466.000	-69.985
422	24467.000	-69.986
422	24468.000	-69.987
422	24469.000	-69.989
422	24470.000	-69.990
422	24471.000	-69.991
422	24472.000	-69.992
422	24473.000	-69.992
422	24474.000	-69.993
422	24475.000	-69.994
422	24476.000	-69.994
422	24477.000	-69.995
422	24478.000	-69.995
422	24479.000	-69.996
422	24480.000	-69.996
422	24481.000	-69.997
422	24482.000	-69.997
422	24483.000	-69.997
422	24484.000	-69.997
422	24485.000	-69.998
422	24486.000	-69.998
422	24487.000	-69.998
422	24488.000	-69.998
422	24489.000	-69.998
422	24490.000	-69.983
422	24491.000	-69.920
422	24492.000	-69.853
422	24493.000	-69.799
422	24494.000	-69.764
422	24495.000	-69.745
422	24496.000	-69.739
422	24497.000	-69.743
422	24498.000	-69.753
422	24499.000	-69.766
422	24500.000	-69.782
422	24501.000	-69.798
422	24502.000	-69.814
422	24503.000	-69.830
422	24504.000	-69.845
422	24505.000	-69.859
422	24506.000	-69.872
422	24507.000	-69.884
422	24508.000	-69.895
422	24509.000	-69.904
422	24510.000	-69.913
422	24511.000	-69.922
422	24512.000	-69.929
422	24513.000	-69.936
422	24514.000	-69.942
422	24515.000	-69.947
422	24516.000	-69.952
422	24517.000	-69.957
422	24518.000	-69.961
422	24519.000	-69.965
422	24520.000	-69.968
422	24521.000	-69.971
422	24522.000	-69.974
422	24523.000	-69.976
422	24524.000	-69.979
422	24525.000	-69.981
422	24526.000	-69.982
422	24527.000	-69.984
422	24528.000	-69.986
422	24529.000	-69.987
422	24530.000	-69.988
422	24531.000	-69.989
422	24532.000	-69.990
422	24533.000	-69.991
422	24534.000	-69.992
422	24535.000	-69.993
422	24536.000	-69.994
422	24537.000	-69.994
422	24538.000	-69.995
422	24539.000	-69.995
422	24540.000	-69.996
422	24541.000	-69.996
422	24542.000	-69.996
422	24543.000	-69.997
422	24544.000	-69.997
422	24545.000	-69.997
422	24546.000	-69.998
422	24547.000	-69.998
422	24548.000	-69.998
422	24549.000	-69.998
422	24550.000	-69.998
422	24551.000	-69.994
422	24552.000	-69.941
422	24553.000	-69.872
422	24554.000	-69.813
422	24555.000	-69.772
422	24556.000	-69.749
422	24557.000	-69.740
422	24558.000	-69.741
422	24559.000	-69.749
422	24560.000	-69.762
422	24561.000	-69.777
422	24562.000	-69.793
422	24563.000	-69.810
422	24564.000	-69.825
422	24565.000	-69.841
422	24566.000	-69.855
422	24567.000	-69.868
422	24568.000	-69.880
422	24569.000	-69.891
422	24570.000	-69.902
422	24571.000	-69.911
422	24572.000	-69.919
422	24573.000	-69.927
422	24574.000	-69.934
422	24575.000	-69.940
422	24576.000	-69.946
422	24577.000	-69.951
422	24578.000	-69.956
422	24579.000	-69.960
422	24580.000	-69.964
422	24581.000	-69.967
422	24582.000	-69.970
422	24583.000	-69.973
422	24584.000	-69.976
422	24585.000	-69.978
422	24586.000	-69.980
422	24587.000	-69.982
422	24588.000	-69.984
422	24589.000	-69.985
422	24590.000	-69.987
422	24591.000	-69.988
422	24592.000	-69.989
422	24593.000	-69.990
422	24594.000	-69.991
422	24595.000	-69.992
422	24596.000	-69.993
422	24597.000	-69.993
422	24598.000	-69.994
422	24599.000	-69.995
422	24600.000	-69.995
422	24601.000	-69.996
422	24602.000	-69.996
422	24603.000	-69.996
422	24604.000	-69.997
422	24605.000	-69.997
422	24606.000	-69.997
422	24607.000	-69.998
422	24608.000	-69.998
422	24609.000	-69.998
422	24610.000	-69.998
422	24611.000	-69.998
422	24612.000	-69.999
422	24613.000	-69.961
422	24614.000	-69.892
422	24615.000	-69.829
422	24616.000	-69.783
422	24617.000	-69.754
422	24618.000	-69.741
422	24619.000	-69.740
422	24620.000	-69.746
422	24621.000	-69.758
422	24622.000	-69.772
422	24623.000	-69.788
422	24624.000	-69.805
422	24625.000	-69.821
422	24626.000	-69.836
422	24627.000	-69.851
422	24628.000	-69.864
422	24629.000	-69.877
422	24630.000	-69.888
422	24631.000	-69.899
422	24632.000	-69.908
422	24633.000	-69.917
422	24634.000	-69.925
422	24635.000	-69.932
422	24636.000	-69.938
422	24637.000	-69.944
422	24638.000	-69.949
422	24639.000	-69.954
422	24640.000	-69.959
422	24641.000	-69.963
422	24642.000	-69.966
422	24643.000	-69.969
422	24644.000	-69.972
422	24645.000	-69.975
422	24646.000	-69.977
422	24647.000	-69.979
422	24648.000	-69.981
422	24649.000	-69.983
422	24650.000	-69.985
422	24651.000	-69.986
422	24652.000	-69.988
422	24653.000	-69.989
422	24654.000	-69.990
422	24655.000	-69.991
422	24656.000	-69.992
422	24657.000	-69.992
422	24658.000	-69.993
422	24659.000	-69.994
422	24660.000	-69.994
422	24661.000	-69.995
422	24662.000	-69.995
422	24663.000	-69.996
422	24664.000	-69.996
422	24665.000	-69.997
422	24666.000	-69.997
422	24667.000	-69.997
422	24668.000	-69.997
422	24669.000	-69.998
422	24670.000	-69.998
422	24671.000	-69.998
422	24672.000	-69.998
422	24673.000	-69.998
422	24674.000	-69.978
422	24675.000	-69.913
422	24676.000	-69.847
422	24677.000	-69.795
422	24678.000	-69.761
422	24679.000	-69.744
422	24680.000	-69.739
422	24681.000	-69.744
422	24682.000	-69.754
422	24683.000	-69.768
422	24684.000	-69.783
422	24685.000	-69.800
422	24686.000	-69.816
422	24687.000	-69.832
422	24688.000	-69.846
422	24689.000	-69.860
422	24690.000	-69.873
422	24691.000	-69.885
422	24692.000	-69.896
422	24693.000	-69.905
422	24694.000	-69.914
422	24695.000	-69.922
422	24696.000	-69.930
422	24697.000	-69.936
422	24698.000	-69.942
422	24699.000	-69.948
422	24700.000	-69.953
422	24701.000	-69.957
422	24702.000	-69.961
422	24703.000	-69.965
422	24704.000	-69.968
422	24705.000	-69.971
422	24706.000	-69.974
422	24707.000	-69.977
422	24708.000	-69.979
422	24709.000	-69.981
422	24710.000	-69.983
422	24711.000	-69.984
422	24712.000	-69.986
422	24713.000	-69.987
422	24714.000	-69.988
422	24715.000	-69.989
422	24716.000	-69.990
422	24717.000	-69.991
422	24718.000	-69.992
422	24719.000	-69.993
422	24720.000	-69.994
422	24721.000	-69.994
422	24722.000	-69.995
422	24723.000	-69.995
422	24724.000	-69.996
422	24725.000	-69.996
422	24726.000	-69.996
422	24727.000	-69.997
422	24728.000	-69.997
422	24729.000	-69.997
422	24730.000	-69.998
422	24731.000	-69.998
422	24732.000	-69.998
422	24733.000	-69.998
422	24734.000	-69.998
422	24735.000	-69.991
422	24736.000	-69.934
422	24737.000	-69.865
422	24738.000	-69.808
422	24739.000	-69.769
422	24740.000	-69.747
422	24741.000	-69.740
422	24742.000	-69.742
422	24743.000	-69.750
422	24744.000	-69.763
422	24745.000	-69.779
422	24746.000	-69.795
422	24747.000	-69.811
422	24748.000	-69.827
422	24749.000	-69.842
422	24750.000	-69.856
422	24751.000	-69.869
422	24752.000	-69.881
422	24753.000	-69.892
422	24754.000	-69.902
422	24755.000	-69.912
422	24756.000	-69.920
422	24757.000	-69.928
422	24758.000	-69.934
422	24759.000	-69.941
422	24760.000	-69.946
422	24761.000	-69.951
422	24762.000	-69.956
422	24763.000	-69.960
422	24764.000	-69.964
422	24765.000	-69.967
422	24766.000	-69.971
422	24767.000	-69.973
422	24768.000	-69.976
422	24769.000	-69.978
422	24770.000	-69.980
422	24771.000	-69.982
422	24772.000	-69.984
422	24773.000	-69.985
422	24774.000	-69.987
422	24775.000	-69.988
422	24776.000	-69.989
422	24777.000	-69.990
422	24778.000	-69.991
422	24779.000	-69.992
422	24780.000	-69.993
422	24781.000	-69.993
422	24782.000	-69.994
422	24783.000	-69.995
422	24784.000	-69.995
422	24785.000	-69.996
422	24786.000	-69.996
422	24787.000	-69.996
422	24788.000	-69.997
422	24789.000	-69.997
422	24790.000	-69.997
422	24791.000	-69.998
422	24792.000	-69.998
422	24793.000	-69.998
422	24794.000	-69.998
422	24795.000	-69.998
422	24796.000	-69.998
422	24797.000	-69.954
422	24798.000	-69.886
422	24799.000	-69.824
422	24800.000	-69.779
422	24801.000	-69.752
422	24802.000	-69.741
422	24803.000	-69.740
422	24804.000	-69.747
422	24805.000	-69.759
422	24806.000	-69.774
422	24807.000	-69.790
422	24808.000	-69.806
422	24809.000	-69.822
422	24810.000	-69.838
422	24811.000	-69.852
422	24812.000	-69.865
422	24813.000	-69.878
422	24814.000	-69.889
422	24815.000	-69.900
422	24816.000	-69.909
422	24817.000	-69.918
422	24818.000	-69.925
422	24819.000	-69.932
422	24820.000	-69.939
422	24821.000	-69.945
422	24822.000	-69.950
422	24823.000	-69.955
422	24824.000	-69.959
422	24825.000	-69.963
422	24826.000	-69.966
422	24827.000	-69.970
422	24828.000	-69.973
422	24829.000	-69.975
422	24830.000	-69.977
422	24831.000	-69.980
422	24832.000	-69.982
422	24833.000	-69.983
422	24834.000	-69.985
422	24835.000	-69.986
422	24836.000	-69.988
422	24837.000	-69.989
422	24838.000	-69.990
422	24839.000	-69.991
422	24840.000	-69.992
422	24841.000	-69.993
422	24842.000	-69.993
422	24843.000	-69.994
422	24844.000	-69.994
422	24845.000	-69.995
422	24846.000	-69.995
422	24847.000	-69.996
422	24848.000	-69.996
422	24849.000	-69.997
422	24850.000	-69.997
422	24851.000	-69.997
422	24852.000	-69.998
422	24853.000	-69.998
422	24854.000	-69.998
422	24855.000	-69.998
422	24856.000	-69.998
422	24857.000	-69.998
422	24858.000	-69.973
422	24859.000	-69.906
422	24860.000	-69.841
422	24861.000	-69.790
422	24862.000	-69.759
422	24863.000	-69.743
422	24864.000	-69.739
422	24865.000	-69.744
422	24866.000	-69.755
422	24867.000	-69.769
422	24868.000	-69.785
422	24869.000	-69.801
422	24870.000	-69.818
422	24871.000	-69.833
422	24872.000	-69.848
422	24873.000	-69.862
422	24874.000	-69.874
422	24875.000	-69.886
422	24876.000	-69.897
422	24877.000	-69.906
422	24878.000	-69.915
422	24879.000	-69.923
422	24880.000	-69.930
422	24881.000	-69.937
422	24882.000	-69.943
422	24883.000	-69.948
422	24884.000	-69.953
422	24885.000	-69.958
422	24886.000	-69.962
422	24887.000	-69.965
422	24888.000	-69.969
422	24889.000	-69.972
422	24890.000	-69.974
422	24891.000	-69.977
422	24892.000	-69.979
422	24893.000	-69.981
422	24894.000	-69.983
422	24895.000	-69.984
422	24896.000	-69.986
422	24897.000	-69.987
422	24898.000	-69.988
422	24899.000	-69.990
422	24900.000	-69.991
422	24901.000	-69.991
422	24902.000	-69.992
422	24903.000	-69.993
422	24904.000	-69.994
422	24905.000	-69.994
422	24906.000	-69.995
422	24907.000	-69.995
422	24908.000	-69.996
422	24909.000	-69.996
422	24910.000	-69.997
422	24911.000	-69.997
422	24912.000	-69.997
422	24913.000	-69.997
422	24914.000	-69.998
422	24915.000	-69.998
422	24916.000	-69.998
422	24917.000	-69.998
422	24918.000	-69.998
422	24919.000	-69.987
422	24920.000	-69.927
422	24921.000	-69.859
422	24922.000	-69.803
422	24923.000	-69.766
422	24924.000	-69.746
422	24925.000	-69.739
422	24926.000	-69.742
422	24927.000	-69.752
422	24928.000	-69.765
422	24929.000	-69.780
422	24930.000	-69.796
422	24931.000	-69.813
422	24932.000	-69.829
422	24933.000	-69.844
422	24934.000	-69.858
422	24935.000	-69.871
422	24936.000	-69.883
422	24937.000	-69.893
422	24938.000	-69.903
422	24939.000	-69.913
